order_id,customer_id,country,region,state,city,postal_code,ship_mode,order_date,ship_date
CA-2015-100006,DK-13375,United States,East,New York,New York City,10024.0,Standard Class,2015-09-07,2015-09-13
CA-2015-100090,EB-13705,United States,West,California,San Francisco,94122.0,Standard Class,2015-07-08,2015-07-12
CA-2015-100293,NF-18475,United States,South,Florida,Jacksonville,32216.0,Standard Class,2015-03-14,2015-03-18
CA-2015-100328,JC-15340,United States,East,New York,New York City,10024.0,Standard Class,2015-01-28,2015-02-03
CA-2015-100363,JM-15655,United States,West,Arizona,Glendale,85301.0,Standard Class,2015-04-08,2015-04-15
CA-2015-100391,BW-11065,United States,East,New York,New York City,10035.0,Standard Class,2015-05-25,2015-05-29
CA-2015-100678,KM-16720,United States,Central,Texas,Houston,77095.0,Standard Class,2015-04-18,2015-04-22
CA-2015-100706,LE-16810,United States,South,Virginia,Springfield,22153.0,Second Class,2015-12-16,2015-12-18
CA-2015-100762,NG-18355,United States,Central,Michigan,Jackson,49201.0,Standard Class,2015-11-24,2015-11-29
CA-2015-100860,CS-12505,United States,West,California,Pomona,91767.0,Second Class,2015-03-26,2015-03-30
CA-2015-100867,EH-14125,United States,West,California,Lakewood,90712.0,Standard Class,2015-10-19,2015-10-24
CA-2015-100881,DR-12940,United States,West,New Mexico,Albuquerque,87105.0,Standard Class,2015-03-28,2015-04-01
CA-2015-100895,SV-20785,United States,South,Georgia,Roswell,30076.0,Standard Class,2015-06-02,2015-06-06
CA-2015-100916,FH-14275,United States,South,Virginia,Newport News,23602.0,Standard Class,2015-10-21,2015-10-26
CA-2015-100972,DB-13360,United States,West,Utah,Salt Lake City,84106.0,Second Class,2015-11-19,2015-11-24
CA-2015-101147,MC-17575,United States,Central,Illinois,Chicago,60623.0,First Class,2015-12-02,2015-12-04
CA-2015-101175,DM-12955,United States,West,Arizona,Mesa,85204.0,Standard Class,2015-12-09,2015-12-14
CA-2015-101266,MM-17920,United States,South,Virginia,Springfield,22153.0,Second Class,2015-08-27,2015-08-30
CA-2015-101364,TW-21025,United States,East,New York,New York City,10011.0,Standard Class,2015-12-22,2015-12-26
CA-2015-101392,AS-10630,United States,West,Washington,Seattle,98103.0,Standard Class,2015-12-07,2015-12-13
CA-2015-101427,AY-10555,United States,East,Pennsylvania,Philadelphia,19140.0,Standard Class,2015-12-26,2015-12-30
CA-2015-101462,BP-11230,United States,West,California,Los Angeles,90045.0,Standard Class,2015-04-20,2015-04-25
CA-2015-101476,SD-20485,United States,East,New York,New Rochelle,10801.0,First Class,2015-09-12,2015-09-13
CA-2015-101560,CS-12250,United States,South,South Carolina,Columbia,29203.0,Second Class,2015-11-28,2015-12-01
CA-2015-101602,MC-18100,United States,Central,Texas,El Paso,79907.0,First Class,2015-12-15,2015-12-18
CA-2015-101770,KB-16240,United States,South,Florida,Miami,33180.0,Standard Class,2015-03-31,2015-04-04
CA-2015-101833,FG-14260,United States,East,New York,New York City,10024.0,Second Class,2015-11-17,2015-11-22
CA-2015-101931,TS-21370,United States,West,California,Los Angeles,90049.0,First Class,2015-10-28,2015-10-31
CA-2015-102008,RA-19915,United States,East,New York,New York City,10011.0,Standard Class,2015-09-30,2015-10-04
CA-2015-102085,JD-16015,United States,West,Washington,Seattle,98115.0,Standard Class,2015-10-04,2015-10-09
CA-2015-102274,DH-13075,United States,South,Kentucky,Richmond,40475.0,Standard Class,2015-11-21,2015-11-26
CA-2015-102295,EH-13990,United States,West,California,Sacramento,95823.0,Second Class,2015-11-24,2015-11-26
CA-2015-102330,AI-10855,United States,West,California,Brentwood,94513.0,Standard Class,2015-12-29,2016-01-03
CA-2015-102645,IM-15055,United States,West,Nevada,Las Vegas,89115.0,Standard Class,2015-01-23,2015-01-28
CA-2015-102652,AY-10555,United States,West,California,Los Angeles,90049.0,Standard Class,2015-04-06,2015-04-12
CA-2015-102673,KH-16630,United States,South,North Carolina,Charlotte,28205.0,Standard Class,2015-11-01,2015-11-05
CA-2015-102869,LC-17140,United States,East,Pennsylvania,Philadelphia,19140.0,Second Class,2015-09-09,2015-09-14
CA-2015-102988,GM-14695,United States,South,Virginia,Alexandria,22304.0,Second Class,2015-04-05,2015-04-09
CA-2015-103058,AG-10270,United States,East,New York,New York City,10011.0,First Class,2015-07-23,2015-07-24
CA-2015-103086,EB-14170,United States,Central,Texas,Houston,77095.0,Second Class,2015-10-17,2015-10-19
CA-2015-103100,AB-10105,United States,Central,Indiana,Indianapolis,46203.0,First Class,2015-12-20,2015-12-23
CA-2015-103191,VG-21805,United States,Central,Illinois,Chicago,60653.0,Standard Class,2015-09-22,2015-09-27
